onetsoccode,Image_Generation_AIOE,Language_Modeling_AIOE
11-1011.00,1.1574117462823974,1.2779231512273652
11-1011.00,1.1574117462823974,1.3581176768273484
11-1011.03,1.0797211957413113,1.2779231512273652
11-1011.03,1.0797211957413113,1.3581176768273484
11-1021.00,0.6289055280172007,1.0385135387546522
11-2011.00,1.4773146016476975,1.1517574813043339
11-2021.00,1.4731515021558095,1.1381427985199402
11-2022.00,0.8838131801591536,1.2292878509461744
11-3012.00,0.39925801123147436,0.697251752164054
11-3021.00,1.1444062383614053,0.8762840939107743
11-3031.00,0.6203620102097687,1.272778479356591
11-3031.00,0.6203620102097687,1.2080543029127637
11-3031.00,0.6203620102097687,1.2010025936135593
11-3031.01,1.2716528281203847,1.272778479356591
11-3031.01,1.2716528281203847,1.2080543029127637
11-3031.01,1.2716528281203847,1.2010025936135593
11-3031.03,1.499475318052047,1.272778479356591
11-3031.03,1.499475318052047,1.2080543029127637
11-3031.03,1.499475318052047,1.2010025936135593
11-3051.00,0.4982812516515823,0.33226897633494334
11-3051.00,0.4982812516515823,0.6255388789948239
11-3051.00,0.4982812516515823,0.28355304706955553
11-3051.00,0.4982812516515823,0.26423298199016654
11-3051.00,0.4982812516515823,0.2614343995150486
11-3051.00,0.4982812516515823,0.22587176645584958
11-3051.01,1.1784690570777474,0.33226897633494334
11-3051.01,1.1784690570777474,0.6255388789948239
11-3051.01,1.1784690570777474,0.28355304706955553
11-3051.01,1.1784690570777474,0.26423298199016654
11-3051.01,1.1784690570777474,0.2614343995150486
11-3051.01,1.1784690570777474,0.22587176645584958
11-3051.02,0.6888062621519386,0.33226897633494334
11-3051.02,0.6888062621519386,0.6255388789948239
11-3051.02,0.6888062621519386,0.28355304706955553
11-3051.02,0.6888062621519386,0.26423298199016654
11-3051.02,0.6888062621519386,0.2614343995150486
11-3051.02,0.6888062621519386,0.22587176645584958
11-3051.03,0.16450387706662764,0.33226897633494334
11-3051.03,0.16450387706662764,0.6255388789948239
11-3051.03,0.16450387706662764,0.28355304706955553
11-3051.03,0.16450387706662764,0.26423298199016654
11-3051.03,0.16450387706662764,0.2614343995150486
11-3051.03,0.16450387706662764,0.22587176645584958
11-3051.04,0.3935199070646956,0.33226897633494334
11-3051.04,0.3935199070646956,0.6255388789948239
11-3051.04,0.3935199070646956,0.28355304706955553
11-3051.04,0.3935199070646956,0.26423298199016654
11-3051.04,0.3935199070646956,0.2614343995150486
11-3051.04,0.3935199070646956,0.22587176645584958
11-3051.06,0.8328249687568985,0.33226897633494334
11-3051.06,0.8328249687568985,0.6255388789948239
11-3051.06,0.8328249687568985,0.28355304706955553
11-3051.06,0.8328249687568985,0.26423298199016654
11-3051.06,0.8328249687568985,0.2614343995150486
11-3051.06,0.8328249687568985,0.22587176645584958
11-3061.00,1.0776357783608284,1.3537537714897083
11-3071.00,0.7582168881281648,0.9246388651012737
11-3071.00,0.7582168881281648,1.200320913005722
11-3071.04,1.5177175319984657,0.9246388651012737
11-3071.04,1.5177175319984657,1.200320913005722
11-3111.00,0.31565592081447685,1.4726774403795229
11-3121.00,0.8450610090435456,1.2954867965256078
11-3131.00,1.0699235243891148,1.2728287499829196
11-9013.00,-0.07324891837009159,-0.22077347408056044
11-9021.00,1.6361160436527284,0.6262685975523672
11-9031.00,0.310289809477282,0.8986717358418252
11-9032.00,0.49850190327528127,1.1337645096399291
11-9033.00,0.9815904069939916,1.483452259893045
11-9041.00,1.5655789240103375,0.8017077509547355
11-9041.00,1.5655789240103375,0.34355530932053185
11-9041.01,0.7625457615629053,0.8017077509547355
11-9041.01,0.7625457615629053,0.34355530932053185
11-9051.00,-0.8048228402952238,-0.01806717688224548
11-9071.00,0.6319548747104045,0.6811449911086704
11-9081.00,0.09388993620176223,0.38933288967316454
11-9111.00,0.7660322622639655,1.2772833315152619
11-9121.00,0.6507097506237614,1.07320265204954
11-9121.00,0.6507097506237614,1.2547278178844918
11-9121.00,0.6507097506237614,1.0193548972139952
11-9121.01,1.2725095475684518,1.07320265204954
11-9121.01,1.2725095475684518,1.2547278178844918
11-9121.01,1.2725095475684518,1.0193548972139952
11-9121.02,1.774244393710638,1.07320265204954
11-9121.02,1.774244393710638,1.2547278178844918
11-9121.02,1.774244393710638,1.0193548972139952
11-9131.00,0.35424177837572046,0.7959507206753571
11-9141.00,0.7940543318354507,1.2766650365400454
11-9151.00,0.6677320301687533,1.1598743589894782
11-9161.00,1.121445669750648,0.88405072321124
11-9171.00,0.28756716046421477,0.26052860807247225
11-9179.01,-1.0563883824989586,-0.06829318556976434
11-9179.01,-1.0563883824989586,0.6303171774390183
11-9179.02,0.09719287017302196,-0.06829318556976434
11-9179.02,0.09719287017302196,0.6303171774390183
11-9199.01,0.9445424395601997,1.4296533571712213
11-9199.01,0.9445424395601997,1.267302782036056
11-9199.01,0.9445424395601997,0.3323945962660961
11-9199.01,0.9445424395601997,0.11538136200348315
11-9199.01,0.9445424395601997,0.9842495047084489
11-9199.01,0.9445424395601997,1.0614113266445206
11-9199.02,0.9433609361064107,1.4296533571712213
11-9199.02,0.9433609361064107,1.267302782036056
11-9199.02,0.9433609361064107,0.3323945962660961
11-9199.02,0.9433609361064107,0.11538136200348315
11-9199.02,0.9433609361064107,0.9842495047084489
11-9199.02,0.9433609361064107,1.0614113266445206
11-9199.08,0.09863063016792788,1.4296533571712213
11-9199.08,0.09863063016792788,1.267302782036056
11-9199.08,0.09863063016792788,0.3323945962660961
11-9199.08,0.09863063016792788,0.11538136200348315
11-9199.08,0.09863063016792788,0.9842495047084489
11-9199.08,0.09863063016792788,1.0614113266445206
11-9199.09,0.3182416071531431,1.4296533571712213
11-9199.09,0.3182416071531431,1.267302782036056
11-9199.09,0.3182416071531431,0.3323945962660961
11-9199.09,0.3182416071531431,0.11538136200348315
11-9199.09,0.3182416071531431,0.9842495047084489
11-9199.09,0.3182416071531431,1.0614113266445206
11-9199.10,0.9742559044586234,1.4296533571712213
11-9199.10,0.9742559044586234,1.267302782036056
11-9199.10,0.9742559044586234,0.3323945962660961
11-9199.10,0.9742559044586234,0.11538136200348315
11-9199.10,0.9742559044586234,0.9842495047084489
11-9199.10,0.9742559044586234,1.0614113266445206
11-9199.11,1.548964209249574,1.4296533571712213
11-9199.11,1.548964209249574,1.267302782036056
11-9199.11,1.548964209249574,0.3323945962660961
11-9199.11,1.548964209249574,0.11538136200348315
11-9199.11,1.548964209249574,0.9842495047084489
11-9199.11,1.548964209249574,1.0614113266445206
13-1011.00,0.42385732142653043,1.4046989871133069
13-1021.00,0.5015609967733551,0.6654911469601319
13-1022.00,0.5489308723278248,0.7205137655851163
13-1023.00,0.9305578099826948,1.4336295996205553
13-1031.00,0.9551901558980989,1.1398128950271555
13-1032.00,0.5769302633109237,0.5088710226409214
13-1041.00,0.11778388174379874,0.11135476893413107
13-1041.00,0.11778388174379874,0.45609882897992166
13-1041.00,0.11778388174379874,1.40337343056612
13-1041.00,0.11778388174379874,0.06797786858779215
13-1041.00,0.11778388174379874,0.11128747370852966
13-1041.00,0.11778388174379874,1.3881012758031497
13-1041.00,0.11778388174379874,1.3137283800647104
13-1041.01,0.8920278759181354,0.11135476893413107
13-1041.01,0.8920278759181354,0.45609882897992166
13-1041.01,0.8920278759181354,1.40337343056612
13-1041.01,0.8920278759181354,0.06797786858779215
13-1041.01,0.8920278759181354,0.11128747370852966
13-1041.01,0.8920278759181354,1.3881012758031497
13-1041.01,0.8920278759181354,1.3137283800647104
13-1041.03,0.8213831402202163,0.11135476893413107
13-1041.03,0.8213831402202163,0.45609882897992166
13-1041.03,0.8213831402202163,1.40337343056612
13-1041.03,0.8213831402202163,0.06797786858779215
13-1041.03,0.8213831402202163,0.11128747370852966
13-1041.03,0.8213831402202163,1.3881012758031497
13-1041.03,0.8213831402202163,1.3137283800647104
13-1041.04,1.0382362650446515,0.11135476893413107
13-1041.04,1.0382362650446515,0.45609882897992166
13-1041.04,1.0382362650446515,1.40337343056612
13-1041.04,1.0382362650446515,0.06797786858779215
13-1041.04,1.0382362650446515,0.11128747370852966
13-1041.04,1.0382362650446515,1.3881012758031497
13-1041.04,1.0382362650446515,1.3137283800647104
13-1041.06,0.40338220025272986,0.11135476893413107
13-1041.06,0.40338220025272986,0.45609882897992166
13-1041.06,0.40338220025272986,1.40337343056612
13-1041.06,0.40338220025272986,0.06797786858779215
13-1041.06,0.40338220025272986,0.11128747370852966
13-1041.06,0.40338220025272986,1.3881012758031497
13-1041.06,0.40338220025272986,1.3137283800647104
13-1041.07,0.9675276785291215,0.11135476893413107
13-1041.07,0.9675276785291215,0.45609882897992166
13-1041.07,0.9675276785291215,1.40337343056612
13-1041.07,0.9675276785291215,0.06797786858779215
13-1041.07,0.9675276785291215,0.11128747370852966
13-1041.07,0.9675276785291215,1.3881012758031497
13-1041.07,0.9675276785291215,1.3137283800647104
13-1041.08,1.3924032099212975,0.11135476893413107
13-1041.08,1.3924032099212975,0.45609882897992166
13-1041.08,1.3924032099212975,1.40337343056612
13-1041.08,1.3924032099212975,0.06797786858779215
13-1041.08,1.3924032099212975,0.11128747370852966
13-1041.08,1.3924032099212975,1.3881012758031497
13-1041.08,1.3924032099212975,1.3137283800647104
13-1051.00,1.5392718100904146,1.088023517273165
13-1071.00,0.4525301675103006,1.496154234209833
13-1074.00,-0.7003252548002925,-0.48964207712693303
13-1075.00,0.8158042750848569,1.4830883165145892
13-1081.00,1.3529544534195102,1.2021227457200288
13-1081.00,1.3529544534195102,1.0318759767866525
13-1081.00,1.3529544534195102,1.0707309217952221
13-1081.01,1.4850403696666459,1.2021227457200288
13-1081.01,1.4850403696666459,1.0318759767866525
13-1081.01,1.4850403696666459,1.0707309217952221
13-1081.02,1.6224662177809268,1.2021227457200288
13-1081.02,1.6224662177809268,1.0318759767866525
13-1081.02,1.6224662177809268,1.0707309217952221
13-1111.00,0.9351937417537909,1.387782830813226
13-1121.00,0.08794569485789207,0.43901421281783004
13-1131.00,0.7444168795832627,1.4018351736817902
13-1141.00,1.091367939395135,1.2981341231468158
13-1151.00,0.7582697063277035,1.303228948317041
13-1161.00,1.2626645299893733,1.2924872133598428
13-1161.00,1.2626645299893733,1.4043321824618835
13-1161.01,1.1245889644877578,1.2924872133598428
13-1161.01,1.1245889644877578,1.4043321824618835
13-1199.04,1.5360856216285326,1.3443426377531058
13-1199.04,1.5360856216285326,1.2868596964875887
13-1199.04,1.5360856216285326,1.0922052290637256
13-1199.05,1.0908788511680299,1.3443426377531058
13-1199.05,1.0908788511680299,1.2868596964875887
