onetsoccode,Image_Generation_AIOE,Language_Modeling_AIOE
11-1011.00,1.1585180821753707,1.2731699177824605
11-1011.00,1.1585180821753707,1.3533324181077238
11-1011.03,1.0805021464951812,1.2731699177824605
11-1011.03,1.0805021464951812,1.3533324181077238
11-1021.00,0.6277983634503425,1.0338559123172413
11-2011.00,1.4797607611661652,1.1470546314761318
11-2021.00,1.4755802256965702,1.1334453856458586
11-2022.00,0.8837736249897454,1.2245540397603445
11-3012.00,0.3971890322782634,0.6927304068803147
11-3013.00,0.08772409665077739,-0.05386740932148549
11-3021.00,1.1454581043223917,0.8716912529746166
11-3031.00,0.619219063508393,1.2680273004101545
11-3031.00,0.619219063508393,1.203328971236027
11-3031.00,0.619219063508393,1.1962800780009597
11-3031.01,1.273237630828772,1.2680273004101545
11-3031.01,1.273237630828772,1.203328971236027
11-3031.01,1.273237630828772,1.1962800780009597
11-3031.03,1.5020142915323111,1.2680273004101545
11-3031.03,1.5020142915323111,1.203328971236027
11-3031.03,1.5020142915323111,1.1962800780009597
11-3051.00,0.496627003841788,0.3278933850609257
11-3051.00,0.496627003841788,0.6210461718811718
11-3051.00,0.496627003841788,0.2791969102533863
11-3051.00,0.496627003841788,0.25988456054343356
11-3051.00,0.496627003841788,0.2570870956679513
11-3051.00,0.496627003841788,0.22153866436485664
11-3051.01,1.1796635856267716,0.3278933850609257
11-3051.01,1.1796635856267716,0.6210461718811718
11-3051.01,1.1796635856267716,0.2791969102533863
11-3051.01,1.1796635856267716,0.25988456054343356
11-3051.01,1.1796635856267716,0.2570870956679513
11-3051.01,1.1796635856267716,0.22153866436485664
11-3051.02,0.6879499750543876,0.3278933850609257
11-3051.02,0.6879499750543876,0.6210461718811718
11-3051.02,0.6879499750543876,0.2791969102533863
11-3051.02,0.6879499750543876,0.25988456054343356
11-3051.02,0.6879499750543876,0.2570870956679513
11-3051.02,0.6879499750543876,0.22153866436485664
11-3051.03,0.16145169608861015,0.3278933850609257
11-3051.03,0.16145169608861015,0.6210461718811718
11-3051.03,0.16145169608861015,0.2791969102533863
11-3051.03,0.16145169608861015,0.25988456054343356
11-3051.03,0.16145169608861015,0.2570870956679513
11-3051.03,0.16145169608861015,0.22153866436485664
11-3051.04,0.39142689566726213,0.3278933850609257
11-3051.04,0.39142689566726213,0.6210461718811718
11-3051.04,0.39142689566726213,0.2791969102533863
11-3051.04,0.39142689566726213,0.25988456054343356
11-3051.04,0.39142689566726213,0.2570870956679513
11-3051.04,0.39142689566726213,0.22153866436485664
11-3051.06,0.8325718637266102,0.3278933850609257
11-3051.06,0.8325718637266102,0.6210461718811718
11-3051.06,0.8325718637266102,0.2791969102533863
11-3051.06,0.8325718637266102,0.25988456054343356
11-3051.06,0.8325718637266102,0.2570870956679513
11-3051.06,0.8325718637266102,0.22153866436485664
11-3061.00,1.0784079949273393,1.3489702554734198
11-3071.00,1.2731910092016778,0.7683530153072462
11-3071.00,1.2731910092016778,1.195598669618796
11-3071.04,1.5203329078890766,0.7683530153072462
11-3071.04,1.5203329078890766,1.195598669618796
11-3111.00,0.31323679789098624,1.467846432802702
11-3121.00,0.8448591512452953,1.290726549128547
11-3131.00,1.1441195568661082,1.3171510600857879
11-9013.00,0.1053168385606226,-0.2958599436315647
11-9021.00,1.6392272985906102,0.6217755990293315
11-9031.00,0.3078482120974806,0.8940699545150634
11-9032.00,0.4968485796030914,1.1290688452131779
11-9033.00,0.9819603643886369,1.4786169494470147
11-9041.00,1.5683947539534553,0.7971446917007174
11-9041.00,1.5683947539534553,0.3391752109070089
11-9041.01,0.7619983117319993,0.7971446917007174
11-9041.01,0.7619983117319993,0.3391752109070089
11-9051.00,-0.8119347750858835,-0.02230286320056804
11-9071.00,0.6308604814791982,0.6766300779777968
11-9081.00,0.09054200848477931,0.3849345102164428
11-9111.00,0.7654994146659913,1.2725303535790955
11-9121.00,0.649693906944147,1.0685311726916864
11-9121.00,0.649693906944147,1.2499838473776363
11-9121.00,0.649693906944147,1.0147049216823538
11-9121.01,1.2740979384066033,1.0685311726916864
11-9121.01,1.2740979384066033,1.2499838473776363
11-9121.01,1.2740979384066033,1.0147049216823538
11-9121.02,1.7779341606050536,1.0685311726916864
11-9121.02,1.7779341606050536,1.2499838473776363
11-9121.02,1.7779341606050536,1.0147049216823538
11-9131.00,0.3519842615232713,0.7913899604620142
11-9141.00,0.7936388468374578,1.2719123055168233
11-9151.00,0.6667874795454891,1.1551682677275774
11-9161.00,1.1224013717926087,0.8794547807112894
11-9171.00,0.3142800795055902,0.3735011956892523
11-9179.01,-1.0645539291944575,-0.07250881438772436
11-9179.01,-1.0645539291944575,0.625822562136257
11-9179.02,0.0938587758710709,-0.07250881438772436
11-9179.02,0.0938587758710709,0.625822562136257
11-9199.01,0.940913830120138,1.4485099447914291
11-9199.01,0.940913830120138,1.2625537897814125
11-9199.01,0.940913830120138,0.32801895482639976
11-9199.01,0.940913830120138,0.11109238369188804
11-9199.01,0.940913830120138,0.9796135483362292
11-9199.01,0.940913830120138,1.0567445560923192
11-9199.02,0.9435707800559076,1.4485099447914291
11-9199.02,0.9435707800559076,1.2625537897814125
11-9199.02,0.9435707800559076,0.32801895482639976
11-9199.02,0.9435707800559076,0.11109238369188804
11-9199.02,0.9435707800559076,0.9796135483362292
11-9199.02,0.9435707800559076,1.0567445560923192
